NAME                 IMAGE                              COMMAND                  SERVICE              CREATED          STATUS                    PORTS
app-db               postgres:16-alpine                 "docker-entrypoint.sΓÇª"   app-db               6 hours ago      Up 6 hours (healthy)      5432/tcp
auth-service         core-auth-service                  "docker-entrypoint.sΓÇª"   auth-service         54 minutes ago   Up 54 minutes (healthy)   8080/tcp
billing-mtls-proxy   nginx:1.27-alpine                  "/docker-entrypoint.ΓÇª"   billing-mtls-proxy   23 hours ago     Up 6 hours                0.0.0.0:8443->443/tcp, [::]:8443->443/tcp
billing-service      core-billing-service               "docker-entrypoint.sΓÇª"   billing-service      58 minutes ago   Up 58 minutes (healthy)   8080/tcp
edge-nginx           core-edge-nginx                    "/docker-entrypoint.ΓÇª"   edge-nginx           59 minutes ago   Up 58 minutes (healthy)   0.0.0.0:80->8080/tcp, [::]:80->8080/tcp, 0.0.0.0:443->8443/tcp, [::]:443->8443/tcp
grafana              grafana/grafana:11.2.0             "/run.sh"                grafana              23 hours ago     Up 6 hours                0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
keycloak             quay.io/keycloak/keycloak:26.0.0   "/opt/keycloak/bin/kΓÇª"   keycloak             54 minutes ago   Up 54 minutes             0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp
keycloak-db          postgres:16-alpine                 "docker-entrypoint.sΓÇª"   keycloak-db          23 hours ago     Up 6 hours                5432/tcp
kong                 kong:3.7                           "/docker-entrypoint.ΓÇª"   kong                 59 minutes ago   Up 58 minutes (healthy)   127.0.0.1:8001->8001/tcp
loki                 grafana/loki:3.0.0                 "/usr/bin/loki -confΓÇª"   loki                 23 hours ago     Up 6 hours                0.0.0.0:3100->3100/tcp, [::]:3100->3100/tcp
order-service        core-order-service                 "docker-entrypoint.sΓÇª"   order-service        59 minutes ago   Up 58 minutes (healthy)   8080/tcp
prometheus           prom/prometheus:v2.54.1            "/bin/prometheus --cΓÇª"   prometheus           6 hours ago      Up 6 hours                0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp
promtail             grafana/promtail:3.0.0             "/usr/bin/promtail -ΓÇª"   promtail             23 hours ago     Up 6 hours                
user-service         core-user-service                  "docker-entrypoint.sΓÇª"   user-service         59 minutes ago   Up 58 minutes (healthy)   8080/tcp
vault                hashicorp/vault:1.18               "vault server -confiΓÇª"   vault                23 hours ago     Up 6 hours (healthy)      0.0.0.0:8200->8200/tcp, [::]:8200->8200/tcp
